City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,14.29,69,92,0.45,AU,1733692857
1,ancud,-41.8697,-73.8203,13.17,61,98,4.32,CL,1733692858
2,polyarnyye zori,67.3661,32.4981,-3.52,94,100,3.42,RU,1733692859
3,fomboni,-12.28,43.7425,27.86,71,13,0.9,KM,1733692861
4,dalbandin,28.8947,64.4101,5.31,27,1,2.45,PK,1733692834
5,sitka,57.0531,-135.33,4.94,87,75,2.57,US,1733692863
6,grytviken,-54.2811,-36.5092,1.11,72,99,4.21,GS,1733692864
7,adamstown,-25.066,-130.1015,22.9,75,35,9.03,PN,1733692865
8,calama,-22.4667,-68.9333,25.27,8,0,10.8,CL,1733692447
9,ulladulla,-35.35,150.4667,18.28,82,70,2.52,AU,1733692867
10,port saint john's,-31.6229,29.5448,23.22,92,84,1.45,ZA,1733692868
11,ushuaia,-54.8,-68.3,9.81,62,40,3.09,AR,1733692646
12,kodiak,57.79,-152.4072,6.73,93,100,8.75,US,1733692871
13,west island,-12.1568,96.8225,25.99,94,100,9.26,CC,1733692613
14,papatowai,-46.5619,169.4708,11.9,67,27,7.75,NZ,1733692873
15,vorgashor,67.5833,63.95,-11.94,94,100,7.71,RU,1733692874
16,longyearbyen,78.2186,15.6401,-4.09,58,75,5.66,SJ,1733692849
17,prado,-17.3411,-39.2208,25.82,83,33,5.39,BR,1733692876
18,jagraon,30.7833,75.4833,10.92,51,0,1.67,IN,1733692877
19,acarau,-2.8856,-40.12,26.98,77,51,6.83,BR,1733692878
20,iqaluit,63.7506,-68.5145,-21.84,69,75,9.77,CA,1733692879
21,kristiansund,63.1115,7.732,3.4,81,75,1.03,NO,1733692880
22,booue,-0.0921,11.9385,23.65,95,100,0.78,GA,1733692882
23,punta arenas,-53.15,-70.9167,11.06,50,75,4.63,CL,1733692720
24,cabo san lucas,22.8909,-109.9124,27.17,43,100,2.68,MX,1733692885
25,hermanus,-34.4187,19.2345,16.0,72,55,4.69,ZA,1733692886
26,galveston,29.3669,-94.9669,18.92,93,100,1.54,US,1733692706
27,harper,4.375,-7.7169,26.43,81,61,2.65,LR,1733692888
28,masuguru,-11.3667,38.4167,25.07,77,46,2.58,TZ,1733692891
29,san antonio de pale,-1.4014,5.6325,26.49,84,100,6.58,GQ,1733692692
30,mon,26.75,95.1,11.91,82,0,1.7,IN,1733692893
31,oyama,36.3,139.8,5.0,45,0,0.55,JP,1733692894
32,ilulissat,69.2167,-51.1,-2.99,50,14,7.72,GL,1733692895
33,miles city,46.4083,-105.8406,9.54,25,0,16.98,US,1733692896
34,holualoa,19.6228,-155.9522,26.02,74,0,4.12,US,1733692898
35,copala,16.65,-98.9833,27.73,60,99,3.39,MX,1733692899
36,celestun,20.8667,-90.4,27.11,59,7,5.52,MX,1733692900
